REF,NomRecette,TypeApplication,IngredientsHE,IngredientsHV,IngredientsTisane,Explication,Note
109,Psoriasis,Cutanée,"20 gouttes,22;10 gouttes,16;5 gouttes,20;5 gouttes,13;5 gouttes,19","15ml,3;12ml,10",,"Appliquez directement sur les zones à traiter, et massez jusqu'à pénétration complète. 3 à 4 fois par jour jusqu'à apaisement.",
110,Psoriasis,Olfaction,"7 gouttes,9;1 goutte,28;1 goutte,20",,,"A déposer sur un mouchoir ou un stick inhalateur. Respirez profondément, tout au long de la journée.","La psoriasis a bien souvent des origines psychosomatiques, et le stress augmente le développement de plaques. Avec ce mélange en olfaction, qui favorise la détente, vous intervenez directement sur l'état de stress."
111,Radiodermite (préventions),Cutanée,"15 gouttes,42;15 gouttes,30;5 gouttes,21","6ml,3;10ml,6;13ml,2",,"Appliquez délicatement 5 gouttes du mélange sur les zones irradiées ou lésées, 4 heures minimum après l'irradiation, puis matin et soir durant tout le traitement radiothérapique.",
112,Rhinite aiguë (rhume),Diffusion,"70 gouttes,36;70 gouttes,13;35 gouttes,6",,,"Diffusez 10 gouttes du mélange dans les pièces à vivre, 3 fois par jour durant 10 minutes, pendant la durée de l'affection.",
113,Rhinite aiguë (rhume),Olfaction,"3 gouttes,13;2 gouttes,30;5 gouttes,39;1 goutte,27",,,"A déposer sur un mouchoir ou un stick inhalateur. Respirez profondément, tout au long de la journée.",
114,Rhinite aiguë (rhume),Bain aromatique,"7 gouttes,36;7 gouttes,13",,,"Mélangez dans un fond de savon liquide (ou de dispersant), et versez dans l'eau du bain. Durée du bain: 20 minutes.",
115,Rhinite aiguë (rhume),Cutanée,"6 gouttes,13;6 gouttes,36;2 gouttes,42","1 c. à soupe,3",,"Appliquez le mélange sur le thorax, sur le haut du dos, le long de la colonne vertébrale et/oiu sur la voûte plantaire. Massez jusqu'à pénétration complète, 4 à 6 fois par jour pendant 7 jours.","Après application vous pouvez appliquez l'excédant de mélange, présent sur vos doigts, sur les sinus et sur les ailes du nez. Toujours à bonne distance des yeux!"
116,Rhinite aiguë (rhume),Voie orale,"1 goutte,43;1 goutte,13",,,"A prendre dans 1 cuillère à café de miel, 1/2 sucre ou encore sur un peu de mie de pain. 3 fois par jour après les repas, durant 7 jours. ",
117,Rhinite allergique (rhume des foins),Voie orale,"70 gouttes,10;70 gouttes,3",,,"Prendre 2 gouttes du mélange dans une cuillère à café de miel, sur un sucre ou sur un peu de mie de pain, après les 3 principaux repas, durant 15 jours. ",Ce mélange est un complément. Il ne remplace pas le traitement médical prescrit par votre médecin lors d'une crise allergique.
118,Rhinite allergique (rhume des foins),Cutanée,"4 gouttes,13;2 gouttes,56","1 c. à soupe,1",,"Appliquez délicatement 2 gouttes du mélange sur les sinus et les ailes du nez. Plusieurs fois par jour, à bonne distance des yeux!",
119,Sinusite,Diffusion,"4 gouttes,13;7 gouttes,36",,,"Diffusez le mélange 2 à 3 fois par jour pendant 10 minutes, dans les pièces à vivre.",
120,Sinusite,Inhalation,"17 gouttes,13;12 gouttes,36;1 goutte,27",,,"Versez 3 gouttes du mélange dans un bol d'eau trsè chaude. Respirez les vapeurs, au-dessus du bol, pendant 10 minutes en vous couvrant la tête d'un linge. Ne vous exposez pas au froid dans la demie heure qui suit. 2 à 3 fois par jour.",
121,Sinusite,Olfaction,"5 gouttes,13;4 gouttes,36;1 goutte,27",,,"A déposer sur un mouchoir ou un stick inhalateur. Respirez profondément, tout au long de la journée.",
122,Sinusite,Cutanée,"4 gouttes,42;4 gouttes,13;4 gouttes,36;1 goutte,43;1 goutte,27","5ml,3;10ml,1",,"Appliquez délicatement 2 à 4 gouttes sur le front, sur les pommettes et les sinus. 2 à 3 fois par jour à bonne distance des yeux!",
123,Tonus physique,Diffusion,"10 gouttes,6;10 gouttes,9;10 gouttes,36",,,"Diffusez 10 gouttes du mélange dans les pièces à vivre, 3 fois par jour pendant 10 minutes.",
124,Tonus physique,Bain aromatique,"10 gouttes,9",,,Mélangez dans un fond de savon liquide ou de dispersant. Versez dans l'eau du bain que vous prendrez de préférence le matin.,
125,Tonus physique,Cutanée,"2 gouttes,36;3 gouttes,9","1 c. à café,1",,Appliquez sur le torse en insistant sur le plexus solaire. Massez dans le sens des aiguilles d'une montre jusu'à pénétration complète ,
126,Tonus physique,Olfaction,"1 flacon,9",,,Respirez au bouchon durant une dizaine de respirations lentes.,"L'huile essentielle d'épinette noire peut être remplacée par n'importe quelle huile essentielle dynamisante dont vous aimez le parfum (citron, bergamote, pamplemousse, laurier noble...) "
127,Tonus mental,Diffusion,"10 gouttes,25;10 gouttes,31;10 gouttes,34",,,Diffusez 10 gouttes du mélange 2 à 3 fois par jour durant 10 minutes dans les pièces à vivre de la maison.,
128,Tonus mental,Bain aromatique,"10 gouttes,22",,,Mélangez dans un fond de savon liquide ou de dispersant. Versez dans l'eau du bain que vous prendrez de préférence le matin.,
129,Tonus mental,Cutanée,"1 goutte,3;10 gouttes,9","1 c. à soupe,1",,"Appliquez le mélange sur plexus solaire et sur le dos en insistant sur le bas du dos (reins). Massez jusqu'à pénétration complète, 2 à 3 fois par jour.",
130,Tonus mental,Olfaction,"1 flacon,34",,,Respirez au bouchon durant une dizaine de respirations lentes.,"L'huile essentielle de petitgrain bigarade peut être remplacée par n'importe quelle huile essentielle réconfortante dont vous aimez le parfum (orange,lavande vraie,camomille noble...) "
131,Toux sèche,Diffusion,"10 gouttes,13;20 gouttes,8",,,"Diffusez 10 gouttes de ce mélange durant 10 minutes, 2 à 3 fois par jour, jusqu'à apaisement.",
132,Toux sèche,Cutanée,"5 gouttes,8;5 gouttes,13;3 gouttes,42","1 c.  à soupe,1",,"Appliquez sur l'intérieur des poignets, le thorax et sur le haut du dos en regard des poumons. Massez jusqu'à pénétration complète, 2 à 3 fois par jour jusqu'à apaisement.","En cas de spasmes lors des quintes de toux, vous pouvez ajouter 1 goutte d'huile essentielle d'estragon dans le mélange."
133,Toux sèche,Voie orale,"1 goutte,8",,,"A prendre dans une cuillère à café de miel ou sur un petit sucre. Laissez fondre sous la langue, jusqu'à 4 fois par jour.",
134,Toux grasse,Diffusion,"10 gouttes,12;20 gouttes,48",,,"Diffusez 10 gouttes du mélange, 2 à 3 fois par jour durant 10 minutes, dans toutes les pièces de la maison.",
135,Toux grasse,Cutanée,"5 gouttes,12;8 gouttes,48;3 gouttes,43","1 c. à soupe,1",,"Appliquez sur l'intérieur des poignets, le thorax et sur le haut du dos en regard des poumons. Massez jusqu'à pénétration complète, 2 à 3 fois par jour jusqu'à apaisement.",
136,Toux grasse,Voie orale,"1 goutte,48",,,"A prendre dans 1 cuillère à café de miel et laissez fondre sous la langue, jusqu'à  fois par jour au besoin.",
137,Gastro-entérite,Voie orale,"3 gouttes,4;3 gouttes,20;3 gouttes,18;30 gouttes,6",,,"Prendre 1 à 2 gouttes du mélange, 2 à 3 fois par jour après les repas (jamais en dehors), pendant 4 jours maximum! Ne pas dépasser 6 gouttes par jour!",
138,Urticaire (aiguë),Cutanée,"1 goutte,21","1 goutte,6",,Appliquez sur la zone irritée plusieurs fois par jour.,
139,Urticaire (chronique),Cutanée,"20 gouttes,21;3 gouttes,3;2 gouttes,27","14ml,6",,"Appliquez quelques gouttes du mélange sur chaque zone irritée, 4 à 6 fois par jour jusqu'à guérison.","Si vous n'avez pas tout chez vous, vous pouvez remplacer le macérât huileux de Millepertuis par de l'huile d'Amande douce, et l'huile essentielle de lavande aspic par l'huile essentielle de Lavande vraie. Le mélange sera moins spécifique mais tout de même efficace. Si vous êtes équipé, ajoutez 2 gouttes d'huile essentielle de Camomille allemande/matricaire ou de Tanaisie annuelle à votre mélange. Hautement anti-inflammatoires et antihistaminiques, elles apporteront d'autant lus d'efficacité à votre soin."
140,Verrue,Cutanée,"35 gouttes,6;15 gouttes,41;15 gouttes,4;15 gouttes,18",,,"Appliquez 2 gouttes du mélange, à l'aide d'un coton-tige, sur les zones atteintes, sans toucher la peau saine. Matin et soir jusqu'à guérison. Si vous en avez la possiblité, procurez vous de la teinture-mère de chélidoine (en pharamacie de préférence) et ajoutez 2,5ml au mélange.","Les verrues peuvent persister plusieurs mois, n'hésitez pas à prolonger le soin aussi longtemps que nécessaire."
141,Zona,Cutanée,"25 gouttes,36;25 gouttes,30;5 gouttes,21;5 gouttes,27","28ml,6",,"Appliquez, sans frotter, 4 à 6 gouttes de ce mélange sur les zones d'éruptions douloureuses et les zones sensibles. Renouvelez 5 fois par jour (pas moins!) jusqu'à guérison.",
142,Zona (douleurs après disparition du zona),Cutanée,"12 gouttes,36;12 gouttes,22;3 gouttes,3;3 gouttes,27","29ml,6",,Appliquez doucement sur les zones douloureuses et sur le trajet des nerfs sensibles. Plusieurs fois par jour selon les douleurs.,
143,Equilibre psycho-émotionnel général,Diffusion,"20 gouttes,34;10 gouttes,22",,,"Diffusez 10 gouttes du mélange, 2 à 3 fois par jour durant 10 minutes, dans toutes les pièces de la maison.",
144,Equilibre psycho-émotionnel général,Bain aromatique,"10 gouttes,22;ou 10 gouttes,34;ou 10 gouttes,45",,,"Mélangez 10 gouttes de l'huile essentielle choisie dans un fond de savon liquide ou de dispersant, et versez dans l'eau du bain.",Vous pouvez choisir une autre huile essenitelle dont le parfum vous plait. Veillez simplement à ce que celle-ci soit indiquée pour le bain aromatique.
145,Equilibre psycho-émotionnel général,Cutanée,"10 gouttes,22;10 gouttes,34","1 c. à soupe,1",,"Appliquez le long de la colonne vertébrale et/sur la plante des pieds. Massez doucement jusqu'à pénétration, 2 à 3 fois par jour jusqu'à apaisement. Vous pouvez aussi appliquer quelques gouttes sur les poignets et le plexus solaire pour une action plus rapide.",
146,Equilibre psycho-émotionnel général,Olfaction,"10 gouttes,22;ou 10 gouttes,34;ou 10 gouttes,55",,,Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon. Respirez profondément sur une dizaine d'inspirations et expirations.,"Vous pouvez choisir une autre huile essenitelle dont le parfum vous plait, le fait d'apprécier l'odeur joue un grand rôle. Veillez simplement à ce que celle-ci soit indiquée pour l'olfaction (non irritante des muqueuses nasales)."
147,Angoisses,Olfaction,"10 gouttes,3;ou 10 gouttes,35;ou 10 gouttes,39;ou 10 gouttes,45",,,Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon. Respirez profondément durant 1 à 2 minutes toutes les heures.,Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
148,Angoisses,Cutanée,"2 gouttes,3",,,"Appliquez 1 goutte sur le plexus solaire et 1 goutte sur l'intérieur des poignets, toutes les heures. Vous pouvez diluer l'hule essentielle, dans un peu d'huile végétale d'amande douce, si l'odeur est trop forte. ",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
148,Angoisses,Voie orale,"2 gouttes,34;ou 2 gouttes,22",,,A prendre dans 1 cuillère à café de miel après chaque repas.,Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
149,Anxiété,Olfaction,"1 flacon,22",,,Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon. Respirez profondément 1 à 2 minutes toutes les heures.,Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
150,Anxiété,Cutanée,"1 flacon,16",,,"Appliquez 1 à 2 gouttes sur le plexus solaire et sur l'intérieur des poignets, toutes les heures. En cas de sensibilité cutanée, diluez dans quelques gouttes d'huile végétale de Pépin de raisins. ",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
151,Anxiété,Voie orale,"2 gouttes,31",,,"A prendre dans une cuillère à café de miel, après chaque repas.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
152,Burn-out,Olfaction,"1 flacon,9",,,Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon. Respirez profondément 1 à 2 minutes toutes les heures.,Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
153,Burn-out,Cutanée,"2 gouttes,57",,,"Appliquez sur la voûte plantaire, toutes les heures. N'hésitez pas à diluer dans quelques gouttes d'huile végétale en cas de sensibilité cutanée.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
154,Burn-out,Cutanée,"2 gouttes,58",,,"Appliquez 1 à 2 gouttes sur le plexus solaire et sur l'intérieur des poignets, toutes les heures. En cas de sensibilité cutanée, diluez dans quelques gouttes d'huile végétale de Pépin de raisins.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
155,Burn-out,Voie orale,"2 gouttes,39;ou 2 gouttes,17",,,"A prendre dans une cuillère de miel, après chaque repas.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
156,Chagrin/Tristesse,Olfaction,"1 flacon,25;ou 1 flacon,9",,,Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon l'huile choisie. Respirez profondément 1 à 2 minutes toutes les heures.,Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
157,Chagrin/Tristesse,Cutanée,"2 gouttes,58",,,"Appliquez 1 à 2 gouttes sur le plexus solaire et sur l'intérieur des poignets, toutes les heures. En cas de sensibilité cutanée, ou d'odeur trop forte, diluez dans quelques gouttes d'huile végétale de Pépin de raisins.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
158,Chagrin/Tristesse,Cutanée,"2 gouttes,22",,,"Appliquez 1 à 2 gouttes, 3 fois par jour, sur le plexus solaire et sur l'intérieur des poignets. En cas de sensibilité cutanée, diluez dans quelques gouttes d'huile végétale de Pépin de raisins.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
159,Chagrin/Tristesse,Voie orale,"2 gouttes,31",,,"A prendre dans une cuillère à café de miel, après chaque repas.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
160,Colère/Irritation (violente),Olfaction,"1 flacon,27",,,Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon l'huile choisie. Respirez profondément 1 à 2 minutes toutes les heures.,Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
161,Colère/Irritation (sentiment d'agression),Olfaction,"1 flacon,58;ou 1 flacon,3",,,Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon l'huile choisie. Respirez profondément 1 à 2 minutes toutes les heures.,Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
162,Colère/Irritation,Cutanée,"2 gouttes,3",,,"Appliquez 1 à 2 gouttes sur le plexus solaire et sur l'intérieur des poignets, toutes les heures. En cas de sensibilité cutanée, ou d'odeur trop forte, diluez dans quelques gouttes d'huile végétale de Pépin de raisins.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
163,Colère/Irritation,Voie orale,"2 gouttes,22",,,"A prendre dans une cuillère à café de miel, après chaque repas.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
164,Dépression,Olfaction,"1 flacon,25;et/ou 1flacon,55",,,"Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon l'huile choisie, ou le mélange des deux. Respirez profondément 1 à 2 minutes toutes les heures.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
165,Dépression,Cutanée,"2 gouttes,26",,,"Appliquez 1 à 2 gouttes sur le plexus solaire et sur l'intérieur des poignets, toutes les heures. En cas de sensibilité cutanée, diluez dans quelques gouttes d'huile végétale de Pépin de raisins.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
166,Dépression,Voie orale,"2 gouttes,6",,,"A prendre dans une cuillère à café de miel, après chaque repas.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
167,Deuil (vécu par une femme),Olfaction,"1 flacon,59;ou 1 flacon,55",,,"Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon l'huile choisie, ou le mélange des deux. Respirez profondément 1 à 2 minutes toutes les heures.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
168,Deuil (vécu par un homme),Olfaction,"1 flacon,8",,,"Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon l'huile choisie, ou le mélange des deux. Respirez profondément 1 à 2 minutes toutes les heures.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
169,Deuil,Cutanée,"2 gouttes,3;ou 2 gouttes,19",,,"Appliquez 1 à 2 gouttes sur le plexus solaire et sur l'intérieur des poignets, toutes les heures. En cas de sensibilité cutanée, diluez dans quelques gouttes d'huile végétale de Pépin de raisins.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
170,Deuil,Voie orale,"2 gouttes,8",,,"A prendre sur un demi sucre ou sur un peu de mie de pain, après chaque repas pendant environ 1 semaine.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
171,Deuil,Voie orale,"2 gouttes,8",,,"A prendre dans une cuillère à café de miel, après chaque repas.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
172,Excitation (psychique),Olfaction,"1 flacon,45",,,Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon. Respirez profondément 1 à 2 minutes toutes les heures. L'huile essentielle d'Ylang-ylang peut être remplacée par de l'absolu de Jasmin.,Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
173,Excitation (psychique),Cutanée,"2 gouttes,22",,,"Appliquez 1 à 2 gouttes sur le plexus solaire et sur l'intérieur des poignets, toutes les heures. En cas de sensibilité cutanée, diluez dans quelques gouttes d'huile végétale de Pépin de raisins.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
174,Excitation (psychique),Voie orale,"2 gouttes,45",,,"A prendre dans une cuillère à café de miel, après chaque repas.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
175,Réunions (de famille ou de travail),Diffusion,"10 gouttes,61",,,"Diffusez 10 gouttes durant quelques minutes dans la salle de regroupement. Le but est de créer une atmosphère détendue et joyeuse, propice à la communication et l'échange.",
176,Réunions (de famille ou de travail),Olfaction,"1 flacon,61",,,Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon. Respirez profondément 1 à 2 minutes toutes les heures.,
177,Réunions (de famille ou de travail),Voie orale,"2 gouttes,31",,,"A prendre dans une cuillère à café de miel, après chaque repas.",
178,Idées sombres/Grisaille mentale,Olfaction,"1 flacon,25;ou 1 flacon,62",,,Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon. Respirez profondément 1 à 2 minutes toutes les heures.,Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
179,Idées sombres/Grisaille mentale,Cutanée,"2 gouttes,9",,,"Appliquez 1 à 2 gouttes sur le plexus solaire et sur l'intérieur des poignets, toutes les heures. En cas de sensibilité cutanée, diluez dans quelques gouttes d'huile végétale de Pépin de raisins.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
180,Idées sombres/Grisaille mentale,Voie orale,"2 gouttes,31",,,"A prendre dans une cuillère à café de miel, après chaque repas.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
181,Insomnie,Diffusion,"10 gouttes,22",,,"Diffusez pendant 10 minutes dans votre chambre, juste avant le coucher. (Jamais pendant le sommeil!)",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
182,Insomnie,Olfaction,"1 flacon,22",,,"Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon. Respirez profondément 1 à 2 minutes toutes les heures, et surtout avant le coucher.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
183,Insomnie,Cutanée,"2 gouttes,3",,,"Appliquez 1 à 2 gouttes sur le plexus solaire et sur l'intérieur des poignets, avant le coucher. En cas de sensibilité cutanée, diluez dans quelques gouttes d'huile végétale de Pépin de raisins.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
184,Insomnie,Voie orale,"1 goutte,61",,,"A prendre dans une cuillère à café de miel, après le repas du soir, ou peu de temps avant le coucher.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
185,Mélancolie/Spleen/Déprime,Olfaction,"1 flacon,37",,,Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon. Respirez profondément 1 à 2 minutes toutes les heures.,Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
186,"Mélancolie/Spleen/Déprime (sentiment d'échec, blocages)",Olfaction,"1 flacon,33",,,Placez 10 gouttes dans un stick inhalateur ou sentez directement au flacon. Respirez profondément 1 à 2 minutes toutes les heures.,Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
187,Mélancolie/Spleen/Déprime,Cutanée,"2 gouttes,36",,,"Appliquez 1 à  gouttes sur le plexus solaire, l'intérieur des poignets et sur les voûtes plantaires, 1 à 3 fois par jour.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
188,Mélancolie/Spleen/Déprime,Voie orale,"2 gouttes,9;ou 2 gouttes,20",,,"A prendre dans un cuillère à café de miel, après chaque repas.",Les manifestation psycho-émotionnelles doivent faire l'objet d'un diagnostic par un professionnel spécialisé. N'hésitez jamais à consulter un psychologue ou un psychiatre!
